threshold,escalation_rate,precision_confident,wrong_routed_rate,coverage_correct_rate,n_confident,n_escalated
0.1,0.0185,0.8907,0.1073,0.8742,3019,57
0.15,0.0533,0.9083,0.0868,0.8599,2912,164
0.2,0.0836,0.9191,0.0741,0.8423,2819,257
0.25,0.1209,0.9301,0.0614,0.8176,2704,372
0.3,0.157,0.9418,0.0491,0.7939,2593,483
0.35,0.1938,0.9504,0.04,0.7663,2480,596
0.4,0.2328,0.9585,0.0319,0.7354,2360,716
0.45,0.2698,0.9644,0.026,0.7042,2246,830
0.5,0.3075,0.9695,0.0211,0.6713,2130,946
0.55,0.3485,0.9731,0.0176,0.6339,2004,1072
0.6,0.3979,0.98,0.012,0.5901,1852,1224
0.65,0.4444,0.9848,0.0085,0.5471,1709,1367
0.7,0.499,0.9877,0.0062,0.4948,1541,1535
0.75,0.5611,0.9904,0.0042,0.4347,1350,1726
0.8,0.6261,0.993,0.0026,0.3713,1150,1926
0.85,0.6928,0.9947,0.0016,0.3056,945,2131
0.9,0.7828,0.9925,0.0016,0.2155,668,2408
